,Unnamed: 0,tag,token0,token1,date,timestamp,token0_daily_price_median_mint,token0_daily_amount_mint,token0_daily_price_median_burn,token0_daily_amount_burn,token0_daily_amount_net_mint_burn,liquidity_daily_sum_mint,liquidity_daily_sum_burn,liquidity_daily_net_mint_burn,token0_daily_price_median_swap,token0_daily_price_min_swap,token0_daily_price_max_swap,token0_daily_price_std_swap,token0_daily_amount_buy_swap,token0_daily_amount_sell_swap,token0_daily_amount_net_swap,total_events_daily_mint,total_events_daily_burn,total_events_daily_swap,total_events_daily
118,118,USDC_USDT,USDC,USDT,2023-10-22,1697932800,0.9745545456684996,-88749.08750600001,0.9745545744316424,96691.572989,7942.485482999997,1421745366855015.0,-1470050892137574.0,-48305525282559.0,0.9996471731973468,1.1111111111111112,0.984771573604061,0.0012392480166517,4108614.77686,-4194611.997539,-85997.22067900002,407,155,8423,8985
121,121,USDC_USDT,USDC,USDT,2023-10-23,1698019200,1.017678,-93497.844573,0.9268769675275638,105431.281813,11933.437239999985,1272718827134075.0,-2213047031207216.8,-940328204073142.0,0.9995475481125632,1.0101010101010102,0.9743589743589745,0.0004119701026904,2727436.8817680003,-2873758.2674280005,-146321.38566000017,318,103,5277,5698
123,123,USDC_USDT,USDC,USDT,2023-10-24,1698105600,0.9670548756878814,-9805.525372,0.969291562952931,6748.93335,-3056.592022,11190324978910.0,-20095948456125.0,-8905623477215.0,0.9995284308417034,1.021276595744681,0.997,0.0005068262333408,1364680.761278,-1323696.714472,40984.04680599994,228,48,2658,2934
125,125,USDC_USDT,USDC,USDT,2023-10-25,1698192000,0.974409726756144,-80500.117234,0.9618515347960837,77151.486565,-3348.6306690000056,326491043502751.0,-374952462288540.0,-48461418785789.0,0.9997066901494176,1.0010010010010009,0.997,0.0001278288985237,2340000.246791,-2326632.543726,13367.703065000009,281,117,4053,4451
126,126,USDC_USDT,USDC,USDT,2023-10-26,1698278400,0.96185,-9922.840388,0.9548436459593412,71795.499916,61872.659528,4199179845863.0,-252723881388549.0,-248524701542686.0,0.999678869521149,1.0010010010010009,0.997,0.0001059395762293,1241101.770516,-1277516.777075,-36415.006558999885,188,65,2669,2922
129,129,USDC_USDT,USDC,USDT,2023-10-27,1698364800,0.9548436261625084,-49326.284047,0.9548436281668736,15260.932287,-34065.35175999999,445683434360284.0,-252046980430284.0,193636453930000.0,0.9996870533723404,1.0045454545454546,0.9895470383275262,0.0002619478318297,2129526.383203,-2054145.994313,75380.38888999983,167,69,3877,4113
130,130,USDC_USDT,USDC,USDT,2023-10-28,1698451200,0.9533440543370328,-16988.881206,0.9533440522991106,19200.736464,2211.8552580000032,12886546378706.0,-57173613296116.0,-44287066917410.0,0.9997154576794226,1.000118909531219,0.997,6.713505213121853e-05,2620604.90207,-2621831.702365,-1226.8002949999643,246,96,5281,5623
132,132,USDC_USDT,USDC,USDT,2023-10-29,1698537600,0.9533440558077504,-48400.785579,0.9533440566901308,55033.729505,6632.943925999993,261902649856031.0,-333680892173301.0,-71778242317270.0,0.9996713692130216,1.0010010010010009,0.997,0.0001121435172365,3799496.128141,-3814049.567554,-14553.439412999898,293,122,6453,6868
134,134,USDC_USDT,USDC,USDT,2023-10-30,1698624000,0.9531374106433678,-13307.401039,0.9987985780134798,14876.556493000002,1569.1554540000016,26710864384693.0,-36971124679358.0,-10260260294665.0,0.9996851934316446,1.0002611892530842,0.9933333333333334,0.0001348811339784,2049118.117006,-2056613.960815,-7495.843809000216,160,89,3331,3580
137,137,USDC_USDT,USDC,USDT,2023-10-31,1698710400,0.99284169841959,-38440.24696900001,0.9928417322431836,6171.929747,-32268.317222000005,189586939010649.0,-205037215849593.0,-15450276838944.0,0.9995780030615002,0.9998995500760524,0.974025974025974,0.0005425392029944,1239274.57379,-1244453.9187019998,-5179.344911999768,163,53,2507,2723
