tag,token0,token1,date,timestamp,token0_hourly_price_median_mint,token0_hourly_amount_mint,token0_hourly_price_median_burn,token0_hourly_amount_burn,token0_hourly_amount_net_mint_burn,liquidity_hourly_sum_mint,liquidity_hourly_sum_burn,liquidity_hourly_net_mint_burn,liquidity_hourly_cum_sum_mint,liquidity_hourly_cum_sum_burn,liquidity_hourly_cum_net_mint_burn,token0_hourly_price_median_swap,token0_hourly_price_min_swap,token0_hourly_price_max_swap,token0_hourly_price_std_swap,token0_hourly_amount_buy_swap,token0_hourly_amount_sell_swap,token0_hourly_amount_net_swap,token0_hourly_amount_cum_buy_swap,token0_hourly_amount_cum_sell_swap,token0_hourly_amount_cum_net_swap,total_events_hourly_mint,total_events_hourly_burn,total_events_hourly_swap,total_events_hourly
STRK_USDC,STRK,USDC,2024-02-20 07:00:00,1708412400,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,13,0,0,13
STRK_ETH,STRK,ETH,2024-02-20 08:00:00,1708416000,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,17,2,0,19
STRK_USDC,STRK,USDC,2024-02-20 08:00:00,1708416000,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,14,1,0,15
STRK_USDT,STRK,USDT,2024-02-20 08:00:00,1708416000,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,1,0,0,1
STRK_USDC,STRK,USDC,2024-02-20 09:00:00,1708419600,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,20,7,0,27
STRK_ETH,STRK,ETH,2024-02-20 09:00:00,1708419600,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,22,1,0,23
STRK_ETH,STRK,ETH,2024-02-20 10:00:00,1708423200,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,35,4,0,39
STRK_USDT,STRK,USDT,2024-02-20 10:00:00,1708423200,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,2,2,0,4
STRK_USDC,STRK,USDC,2024-02-20 10:00:00,1708423200,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,33,6,0,39
STRK_USDC,STRK,USDC,2024-02-20 11:00:00,1708426800,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,58,8,0,66
STRK_ETH,STRK,ETH,2024-02-20 11:00:00,1708426800,,0,,0,0,0,0,0,0,0,0,0.0019895746330527413,0.001505889888164115,0.0024732593779413672,0.0005585110353287275,0.0,-2600.0,-2600.0,0.0,-2600.0,-2600.0,96,7,4,107
STRK_USDC,STRK,USDC,2024-02-20 12:00:00,1708430400,2.1204131966356323,-1506.3498002280635,8.338784647635746,106.95543987370746,-1399.394360354356,1.7052965804790213e+18,-4.3172049476779226e+17,1.273576085711229e+18,1.7052965804790213e+18,-4.3172049476779226e+17,1.273576085711229e+18,2.024330154360147,1.754413699093155,3.335991653202906,0.320356818987738,266639.07513795345,-458971.2692694145,-192332.19413146103,266639.07513795345,-458971.2692694145,-192332.19413146103,58,21,1301,1380
STRK_ETH,STRK,ETH,2024-02-20 12:00:00,1708430400,0.000710969528256799,-30471.80698608218,0.0017095117736217302,4582.1342515107335,-25889.672734571446,1.0450445277220512e+23,-1.8204103758461197e+22,8.630034901374392e+22,1.0450445277220512e+23,-1.8204103758461197e+22,8.630034901374392e+22,0.0007058336742587756,0.0006120253436150562,0.0018808169791316115,9.274776298762384e-05,8304030.954787968,-7558354.105293012,745676.8494949555,8304030.954787968,-7558354.105293012,745676.8494949555,59,15,4295,4369
STRK_USDT,STRK,USDT,2024-02-20 12:00:00,1708430400,,0,,0,0,0,0,0,0,0,0,,,,,,,,,,,3,1,0,4
STRK_USDT,STRK,USDT,2024-02-20 12:00:00,1708430400,,0,,0,0,0,0,0,0,0,0,2.112643326956876,1.8432070632134112,2.9648266401778254,0.30838886651473213,103081.92575228904,-67881.90028811546,35200.02546417358,103081.92575228904,-67881.90028811546,35200.02546417358,2,0,414,416
