tag,token0,token1,date,timestamp,token0_hourly_price_median_mint,token0_hourly_amount_mint,token0_hourly_price_median_burn,token0_hourly_amount_burn,token0_hourly_amount_net_mint_burn,liquidity_hourly_sum_mint,liquidity_hourly_sum_burn,liquidity_hourly_net_mint_burn,token0_hourly_price_median_swap,token0_hourly_price_min_swap,token0_hourly_price_max_swap,token0_hourly_price_std_swap,token0_hourly_amount_buy_swap,token0_hourly_amount_sell_swap,token0_hourly_amount_net_swap,token0_hourly_amount_cum_buy_swap,token0_hourly_amount_cum_sell_swap,token0_hourly_amount_cum_net_swap,total_events_hourly_mint,total_events_hourly_burn,total_events_hourly_swap,total_events_hourly,liquidity_hourly_cum_sum_mint,liquidity_hourly_cum_sum_burn
STRK_ETH,STRK,ETH,2024-02-22 13:00:00,1708606800,0.0006229021301454,-66360.8997135598,0.0006181869052115,24390.82502880608,-41970.07468475372,8.177946976423263e+22,-8.110759045316437e+22,6.718793110682631e+20,0.0006236987539527,0.0006306356769034,0.0006183322743574,2.9078298320944884e-06,501446.14426030463,-448574.4950112428,52871.64924906183,501446.14426030463,-448574.4950112428,52871.64924906183,268,54,955,1277,8.177946976423263e+22,-8.110759045316437e+22
STRK_ETH,STRK,ETH,2024-02-22 14:00:00,1708610400,0.0006328365240695,-26105.69192954245,0.0006328365240695,9711.385157846507,-16394.306771695945,7.164303844475171e+22,-6.704523628733281e+21,6.493851481601843e+22,0.0006259137706757,0.0006302597233971,0.0006241224737645,1.0242065782583057e-06,226690.29921518467,-242161.89059583,-15471.591380645288,226690.29921518467,-242161.89059583,-15471.591380645288,213,41,642,896,7.164303844475171e+22,-6.704523628733281e+21
STRK_ETH,STRK,ETH,2024-02-22 15:00:00,1708614000,0.0006328729615295,-21808.50231748823,0.0006328729615295,5429.7015083077295,-16378.8008091805,7.179873433556234e+22,-4.859375972117538e+22,2.3204974614386963e+22,0.0006231938685461,0.0006283168123266,0.0006208174988337,2.1168225024235206e-06,208345.0020373236,-439620.3222295998,-231275.3201922762,208345.0020373236,-439620.3222295998,-231275.3201922762,182,25,554,761,7.179873433556234e+22,-4.859375972117538e+22
STRK_ETH,STRK,ETH,2024-02-22 16:00:00,1708617600,0.0006158012179872,-42420.75139857716,0.000416422653732,10320.082850631345,-32100.668547945814,2.8461705633065203e+22,-4.782175357189801e+21,2.3679530275875404e+22,0.0006180901362626,0.0006221145674474,0.0006157658283608,1.4790332240220017e-06,17804.57329787253,-634153.1828080986,-616348.6095102261,17804.57329787253,-634153.1828080986,-616348.6095102261,141,22,469,632,2.8461705633065203e+22,-4.782175357189801e+21
STRK_ETH,STRK,ETH,2024-02-22 17:00:00,1708621200,0.0006158282060013,-18985.191954899008,0.0004861085091074,6375.246868331918,-12609.94508656709,1.071380374384908e+23,-6.079369510445119e+22,4.63443423340396e+22,0.0006146695183973,0.0006172362651916,0.0006106424562339,1.3569205191030925e-06,284787.1654888332,-799356.2986805988,-514569.1331917656,284787.1654888332,-799356.2986805988,-514569.1331917656,117,33,607,757,1.071380374384908e+23,-6.079369510445119e+22
STRK_ETH,STRK,ETH,2024-02-22 18:00:00,1708624800,0.0005951866318776,-12588.554936894468,0.000475144770793,1501.309634135494,-11087.245302758973,1.5382629651213258e+22,-8.307495421101322e+20,1.4551880109103126e+22,0.0006151673142165,0.0006195947124527,0.0006122425672239,1.992826734645149e-06,381909.79490187217,-58019.262309183454,323890.5325926887,381909.79490187217,-58019.262309183454,323890.5325926887,109,20,486,615,1.5382629651213258e+22,-8.307495421101322e+20
STRK_ETH,STRK,ETH,2024-02-22 19:00:00,1708628400,0.0006221164704416,-23636.436782925142,0.0005982048726699,3137.551413560546,-20498.8853693646,1.1676499185298523e+22,-1.0451770469671542e+21,1.063132213833137e+22,0.0006271128561606,0.0006332208013697,0.0006158978169702,4.8639322990808905e-06,716523.8276330174,-314872.5347238231,401651.2929091944,716523.8276330174,-314872.5347238231,401651.2929091944,150,23,736,909,1.1676499185298523e+22,-1.0451770469671542e+21
STRK_ETH,STRK,ETH,2024-02-22 20:00:00,1708632000,0.0005956721471825,-87951.38558787452,0.0005954815293698,7884.737654669794,-80066.64793320473,9.682238762942514e+22,-2.0058658345350773e+21,9.481652179489006e+22,0.0006285591445803,0.0006347227265802,0.000625651941591,1.422156762380875e-06,282377.0581593972,-231559.4167992387,50817.64136015851,282377.0581593972,-231559.4167992387,50817.64136015851,134,12,447,593,9.682238762942514e+22,-2.0058658345350773e+21
STRK_ETH,STRK,ETH,2024-02-22 21:00:00,1708635600,0.0006230056857515,-22365.376790064267,0.0005814012637388,10960.494980263516,-11404.88180980075,9.263038343502596e+21,-1.1000115904633152e+22,-1.737077561130557e+21,0.0006424307458218,0.0006582840815576,0.0006237087339592,1.1239242535025795e-05,2656502.203442493,-501457.06350838114,2155045.1399341123,2656502.203442493,-501457.06350838114,2155045.1399341123,109,26,1070,1205,9.263038343502596e+21,-1.1000115904633152e+22
STRK_ETH,STRK,ETH,2024-02-22 22:00:00,1708639200,0.0006633564627477,-37104.86496789581,0.0007534819115436,3137.223670893437,-33967.641297002374,1.526940704254952e+22,-7.436970771069217e+22,-5.910030066814265e+22,0.0006559594772151,0.0006608065033121,0.0006497522108199,2.9195759500525425e-06,949048.354664825,-348534.9034122034,600513.4512526216,949048.354664825,-348534.9034122034,600513.4512526216,107,24,557,688,1.526940704254952e+22,-7.436970771069217e+22
STRK_ETH,STRK,ETH,2024-02-22 23:00:00,1708642800,0.0006436811230353,-5470.312123773282,0.0007177740055555,584.6682990405246,-4885.643824732758,3.582705992165937e+21,-1.0879863107450228e+21,2.494719681420914e+21,0.0006560394536481,0.0006610235710391,0.0006459724038033,4.423700363027192e-06,165120.37772170914,-448929.1389966066,-283808.76127489744,165120.37772170914,-448929.1389966066,-283808.76127489744,93,11,395,499,3.582705992165937e+21,-1.0879863107450228e+21
